date,country,epidemiological_week,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-11-01,Brazil,202045,5547951,160175,10188,203
2020-11-02,Brazil,202045,5556200,160339,8249,164
2020-11-03,Brazil,202045,5569468,160628,13268,289
2020-11-04,Brazil,202045,5594098,161246,24630,618
2020-11-05,Brazil,202045,5617943,161849,23845,603
2020-11-06,Brazil,202045,5638139,162120,20196,271
2020-11-07,Brazil,202045,5655887,162348,17748,228
2020-11-08,Brazil,202046,5666389,162538,10502,190
2020-11-09,Brazil,202046,5679803,162724,13414,186
2020-11-10,Brazil,202046,5726227,162922,46424,198
2020-11-11,Brazil,202046,5752471,163496,26244,574
2020-11-12,Brazil,202046,5786393,164429,33922,933
2020-11-13,Brazil,202046,5825111,165005,38718,576
2020-11-14,Brazil,202046,5851389,165739,26278,734
2020-11-15,Brazil,202047,5865295,165879,13906,140
2020-11-16,Brazil,202047,5881039,166135,15744,256
2020-11-17,Brazil,202047,5916529,166814,35490,679
2020-11-18,Brazil,202047,5951281,167568,34752,754
2020-11-19,Brazil,202047,5987143,168218,35862,650
2020-11-20,Brazil,202047,6025913,168731,38770,513
2020-11-21,Brazil,202047,6056135,169088,30222,357
2020-11-22,Brazil,202048,6074061,169266,17926,178
2020-11-23,Brazil,202048,6092219,169621,18158,355
2020-11-24,Brazil,202048,6126752,170248,34533,627
2020-11-25,Brazil,202048,6171363,170870,44611,622
2020-11-26,Brazil,202048,6212265,171581,40902,711
2020-11-27,Brazil,202048,6245773,172140,33508,559
2020-11-28,Brazil,202048,6297258,172684,51485,544
2020-11-29,Brazil,202049,6318270,172917,21012,233
2020-11-30,Brazil,202049,6341965,173268,23695,351
2020-12-01,Brazil,202049,6393950,173953,51985,685
2020-12-02,Brazil,202049,6442425,174630,48475,677
2020-12-03,Brazil,202049,6492564,175393,50139,763
2020-12-04,Brazil,202049,6540235,176070,47671,677
2020-12-05,Brazil,202049,6580517,176718,40282,648
2020-12-06,Brazil,202050,6606947,177057,26430,339
2020-12-07,Brazil,202050,6633971,177482,27024,425
2020-12-08,Brazil,202050,6681767,178280,47796,798
2020-12-09,Brazil,202050,6736358,179132,54591,852
2020-12-10,Brazil,202050,6789908,179902,53550,770
2020-12-11,Brazil,202050,6842457,180562,52549,660
2020-12-12,Brazil,202050,6884782,181241,42325,679
2020-12-13,Brazil,202051,6906811,181536,22029,295
2020-12-14,Brazil,202051,6934191,182049,27380,513
2020-12-15,Brazil,202051,6982223,182983,48032,934
2020-12-16,Brazil,202051,7048347,183924,66124,941
2020-12-17,Brazil,202051,7117046,184985,68699,1061
2020-12-18,Brazil,202051,7169899,185802,52853,817
2020-12-19,Brazil,202051,7218141,186461,48242,659
2020-12-20,Brazil,202052,7242625,186879,24484,418
2020-12-21,Brazil,202052,7270270,187441,27645,562
2020-12-22,Brazil,202052,7326935,188410,56665,969
2020-12-23,Brazil,202052,7372614,189375,45679,965
2020-12-24,Brazil,202052,7430825,190135,58211,760
2020-12-25,Brazil,202052,7452008,190617,21183,482
2020-12-26,Brazil,202052,7469541,190913,17533,296
2020-12-27,Brazil,202053,7487155,191250,17614,337
2020-12-28,Brazil,202053,7514592,191788,27437,538
2020-12-29,Brazil,202053,7570963,192839,56371,1051
2020-12-30,Brazil,202053,7626563,194056,55600,1217
2020-12-31,Brazil,202053,7681032,195072,54469,1016
2021-01-01,Brazil,202053,7703971,195541,22939,469
2021-01-02,Brazil,202053,7719324,195834,15353,293
2021-01-03,Brazil,202101,7736514,196145,17190,311
2021-01-04,Brazil,202101,7761553,196741,25039,596
2021-01-05,Brazil,202101,7819636,197930,58083,1189
2021-01-06,Brazil,202101,7880343,199161,60707,1231
2021-01-07,Brazil,202101,7970112,200678,89769,1517
2021-01-08,Brazil,202101,8029698,201760,59586,1082
2021-01-09,Brazil,202101,8081091,202769,51393,1009
2021-01-10,Brazil,202102,8110118,203259,29027,490
2021-01-11,Brazil,202102,8140865,203749,30747,490
2021-01-12,Brazil,202102,8202872,204875,62007,1126
2021-01-13,Brazil,202102,8265116,206139,62244,1264
2021-01-14,Brazil,202102,8333445,207293,68329,1154
2021-01-15,Brazil,202102,8402542,208428,69097,1135
2021-01-16,Brazil,202102,8460987,209442,58445,1014
2021-01-17,Brazil,202103,8492403,209993,31416,551
2021-01-18,Brazil,202103,8521336,210469,28933,476
2021-01-19,Brazil,202103,8583485,211629,62149,1160
2021-01-20,Brazil,202103,8647962,213024,64477,1395
2021-01-21,Brazil,202103,8706912,214371,58950,1347
2021-01-22,Brazil,202103,8762662,215435,55750,1064
2021-01-23,Brazil,202103,8821815,216587,59153,1152
